City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,avarua,-21.2078,-159.775,21.03,73,100,4.63,CK,1695740131
83,baiti,13.745,-14.7482,34.8,52,82,2.99,SN,1695740131
84,broome,42.2506,-75.833,16.31,83,0,4.92,US,1695740132
85,bikenibeu village,1.3673,173.1241,27.98,83,75,1.03,KI,1695740132
86,jamestown,42.097,-79.2353,15.31,87,100,3.13,US,1695740132
87,mejit,10.2753,170.8646,28.47,80,100,7.38,MH,1695740132
88,wanganui,-39.9333,175.05,9.22,80,100,6.41,NZ,1695740133
89,pianco,-7.1981,-37.9292,35.45,26,70,2.14,BR,1695740133
90,alegrete,-29.7831,-55.7919,15.43,92,100,5.96,BR,1695740133
91,saldanha,-33.0117,17.9442,20.03,78,0,9.17,ZA,1695740133
92,edinburgh of the seven seas,-37.0676,-12.3116,13.34,78,9,10.05,SH,1695740134
93,mili,6.0815,171.735,28.67,78,86,6.33,MH,1695740134
94,al wasitah,29.3378,31.2056,35.94,15,0,5.18,EG,1695740134
95,pallasovka,50.05,46.8833,23.36,34,84,3.61,RU,1695740134
96,margaret river,-33.95,115.0667,11.48,69,0,2.42,AU,1695740135
97,tumaco,1.7986,-78.8156,27.1,80,79,3.99,CO,1695740135
98,thompson,55.7435,-97.8558,12.09,100,40,1.03,CA,1695740080
99,changji,44.0167,87.3167,16.44,59,0,2.0,CN,1695740135
100,hadibu,12.65,54.0333,27.39,81,56,3.14,YE,1695740136
101,college,64.8569,-147.8028,1.56,85,20,2.06,US,1695739639
102,bhag,29.0415,67.8239,35.81,22,0,2.07,PK,1695740136
103,sarayonu,38.262,32.4046,26.79,25,100,3.98,TR,1695740124
104,qaqortoq,60.7167,-46.0333,4.63,48,0,3.22,GL,1695740136
105,fort mcmurray,56.7268,-111.381,13.77,62,0,4.63,CA,1695740137
106,alice springs,-23.7,133.8833,16.75,31,0,1.54,AU,1695740137
107,woodland park,40.8898,-74.1949,15.59,84,100,5.14,US,1695740137
108,delmas,18.5447,-72.3028,31.4,62,20,7.72,HT,1695740137
109,tiksi,71.6872,128.8694,-0.79,72,88,10.1,RU,1695740138
110,la ronge,55.1001,-105.2842,17.14,72,75,5.66,CA,1695740138
111,swakopmund,-22.6833,14.5333,18.88,67,6,7.15,NA,1695740138
112,keflavik,64.0049,-22.5624,11.95,76,75,8.75,IS,1695740138
113,kostomuksha,64.571,30.5767,11.84,90,100,4.97,RU,1695740139
114,port hedland,-20.3167,118.5667,30.03,26,63,5.14,AU,1695739692
115,san luis de la loma,17.2706,-100.8939,29.44,72,19,1.61,MX,1695740139
116,kalamata,37.0389,22.1142,24.87,71,75,1.54,GR,1695740139
117,remire-montjoly,4.9167,-52.2667,33.02,58,0,2.06,GF,1695740139
118,adrar,20.5022,-10.0711,42.22,6,50,4.12,MR,1695740140
119,yichang,30.7144,111.2847,21.62,84,100,0.73,CN,1695740140
120,palmarito tochapan,18.9,-97.6167,17.14,38,39,1.88,MX,1695740140
121,novodvinsk,64.4165,40.8122,12.04,86,100,4.63,RU,1695740141
122,port mathurin,-19.6833,63.4167,23.07,67,6,9.47,MU,1695740120
123,grants,35.1473,-107.8514,10.13,46,0,1.54,US,1695740141
124,naze,28.3667,129.4833,24.51,83,23,5.77,JP,1695740141
125,kattivakkam,13.2167,80.3167,30.05,82,82,5.61,IN,1695740142
126,dunedin,-45.8742,170.5036,7.11,76,52,0.73,NZ,1695740142
127,arraial do cabo,-22.9661,-42.0278,26.98,78,75,8.75,BR,1695739953
128,saint-philippe,-21.3585,55.7679,23.77,75,9,5.82,RE,1695740142
129,west island,-12.1568,96.8225,25.99,78,100,6.17,CC,1695740142
130,haiku-pauwela,20.9219,-156.3051,23.91,78,75,5.14,US,1695740143
131,okha,53.5739,142.9478,6.17,84,100,3.76,RU,1695740143
132,afaahiti,-17.75,-149.2833,22.93,94,100,8.76,PF,1695740143
133,utrik,11.2278,169.8474,28.78,73,100,7.36,MH,1695740144
134,pisco,-13.7,-76.2167,21.03,64,20,1.54,PE,1695740144
135,nova sintra,14.8667,-24.7167,23.96,78,16,6.57,CV,1695740144
136,punta arenas,-53.15,-70.9167,9.01,70,75,9.77,CL,1695740144
137,san pedro,14.35,121.0167,25.18,90,100,1.03,PH,1695740144
138,ola,59.5833,151.2833,4.06,77,94,1.22,RU,1695740145
139,villa gesell,-37.2639,-56.973,9.27,70,100,2.12,AR,1695739999
140,kurchatov,51.6601,35.6521,21.23,50,8,2.96,RU,1695740145
141,sumbe,-11.2061,13.8437,23.8,80,98,3.79,AO,1695740145
142,khowy,38.5503,44.9521,23.29,38,20,5.14,IR,1695740146
143,taroa,8.7058,171.2275,28.6,77,100,7.01,MH,1695740146
144,hohhot,40.8106,111.6522,14.95,54,0,3.0,CN,1695740146
145,dawson creek,55.7666,-120.2362,2.8,100,75,1.54,CA,1695740146
146,iskateley,67.6803,53.1512,7.4,97,100,4.37,RU,1695740147
147,tolanaro,-25.0319,46.9987,26.04,69,20,12.86,MG,1695740147
148,esbjerg,55.4667,8.45,19.38,70,75,3.6,DK,1695740147
149,san antonio de pale,-1.4014,5.6325,24.91,85,43,6.28,GQ,1695740147
150,lata,40.1629,-8.3327,28.05,46,4,3.06,PT,1695740148
151,alzamay,55.5562,98.6644,5.27,92,100,3.24,RU,1695740148
152,marat,25.0701,45.4615,37.8,9,93,4.69,SA,1695740148
153,volksrust,-27.3654,29.8818,20.57,20,3,2.86,ZA,1695740012
154,badger,64.8,-147.5333,1.66,85,20,2.06,US,1695740148
155,nadi,-17.8,177.4167,23.0,94,75,2.57,FJ,1695740149
156,bull savanna,17.8868,-77.5902,30.58,62,85,4.39,JM,1695740149
157,port elizabeth,-33.918,25.5701,17.28,71,75,6.69,ZA,1695740149
158,sterling,39.0062,-77.4286,15.16,90,100,4.63,US,1695740109
159,newman,37.3138,-121.0208,15.58,75,0,0.89,US,1695740149
160,nevers,46.9167,3.3333,26.32,39,0,2.57,FR,1695740150
161,pawni,20.7833,79.6333,26.49,80,99,1.24,IN,1695740150
162,coracora,-15.0333,-73.7833,18.4,16,94,2.99,PE,1695740150
163,scone,56.4194,-3.4051,16.42,85,87,2.68,GB,1695740150
164,hithadhoo,-0.6,73.0833,28.18,75,13,5.64,MV,1695740151
165,sitka,57.0531,-135.33,13.94,58,100,4.63,US,1695740151
166,colonia,50.9333,6.95,26.35,51,0,3.09,DE,1695739922
167,hami,42.8,93.45,14.5,31,0,2.4,CN,1695740151
168,sanghar,26.0466,68.9481,33.57,32,5,3.29,PK,1695740151
169,sinabang,2.4803,96.3801,26.32,77,61,2.57,ID,1695740152
170,shiggaon,15.0,75.2333,23.28,93,96,4.13,IN,1695740152
171,teknaf,20.8624,92.3058,27.51,87,82,1.95,BD,1695740152
172,beloyarskiy,63.7119,66.6722,7.78,90,72,8.05,RU,1695740152
173,princeton,25.5384,-80.4089,31.12,83,0,3.6,US,1695740153
174,georgetown,5.4112,100.3354,27.23,89,20,1.54,MY,1695740153
175,lakatoro,-16.0999,167.4164,22.36,77,100,6.22,VU,1695740153
176,borovskoy,53.8,64.15,14.33,65,71,4.42,KZ,1695740154
177,tazacorte,28.629,-17.9293,27.54,90,20,3.6,ES,1695740154
178,mata-utu,-13.2816,-176.1745,27.21,81,95,7.17,WF,1695740154
179,socorro,31.6546,-106.3033,25.92,55,75,3.09,US,1695740154
180,new plymouth,-39.0667,174.0833,11.0,90,100,2.36,NZ,1695740155
181,olonkinbyen,70.9221,-8.7187,3.86,82,100,9.69,SJ,1695740155
182,stanley,54.868,-1.6985,17.93,79,75,5.66,GB,1695740155
183,fort st. john,56.2499,-120.8529,4.94,100,100,2.57,CA,1695740155
